Date,USD Real Policy Rate
01-01-2002,
01-02-2002,1.738
01-03-2002,1.727
01-04-2002,1.746
01-05-2002,1.749
01-06-2002,1.749
01-07-2002,1.728
01-08-2002,1.737
01-09-2002,1.748
01-10-2002,1.748
01-11-2002,1.338
01-12-2002,1.238
01-01-2003,1.236
01-02-2003,1.255
01-03-2003,1.248
01-04-2003,1.264
01-05-2003,1.262
01-06-2003,1.219
01-07-2003,1.007
01-08-2003,1.026
01-09-2003,1.007
01-10-2003,1.011
01-11-2003,0.999
01-12-2003,0.977
01-01-2004,0.996
01-02-2004,1.008
01-03-2004,0.998
01-04-2004,0.998
01-05-2004,0.996
01-06-2004,1.026
01-07-2004,1.259
01-08-2004,1.429
01-09-2004,1.607
01-10-2004,1.755
01-11-2004,1.925
01-12-2004,2.160
01-01-2005,2.281
01-02-2005,2.496
01-03-2005,2.626
01-04-2005,2.787
01-05-2005,3.001
01-06-2005,3.039
01-07-2005,3.254
01-08-2005,3.494
01-09-2005,3.606
01-10-2005,3.778
01-11-2005,4.005
01-12-2005,4.160
01-01-2006,4.284
01-02-2006,4.489
01-03-2006,4.588
01-04-2006,4.785
01-05-2006,4.937
01-06-2006,4.988
01-07-2006,5.235
01-08-2006,5.246
01-09-2006,5.255
01-10-2006,5.254
01-11-2006,5.250
01-12-2006,5.235
01-01-2007,5.248
01-02-2007,5.256
01-03-2007,5.255
01-04-2007,5.247
01-05-2007,5.246
01-06-2007,5.248
01-07-2007,5.258
01-08-2007,5.020
01-09-2007,4.936
01-10-2007,4.757
01-11-2007,4.482
01-12-2007,4.237
01-01-2008,3.937
01-02-2008,2.978
01-03-2008,2.606
01-04-2008,2.278
01-05-2008,1.974
01-06-2008,1.990
01-07-2008,2.003
01-08-2008,2.001
01-09-2008,1.809
01-10-2008,0.979
01-11-2008,0.408
01-12-2008,0.168
01-01-2009,0.147
01-02-2009,0.216
01-03-2009,0.181
01-04-2009,0.149
01-05-2009,0.179
01-06-2009,0.202
01-07-2009,0.160
01-08-2009,0.157
01-09-2009,0.148
01-10-2009,0.117
01-11-2009,0.117
01-12-2009,0.119
01-01-2010,0.109
01-02-2010,0.131
01-03-2010,0.160
01-04-2010,0.200
01-05-2010,0.201
01-06-2010,0.180
01-07-2010,0.178
01-08-2010,0.189
01-09-2010,0.188
01-10-2010,0.187
01-11-2010,0.187
01-12-2010,0.176
01-01-2011,0.167
01-02-2011,0.157
01-03-2011,0.135
01-04-2011,0.095
01-05-2011,0.087
01-06-2011,0.090
01-07-2011,0.067
01-08-2011,0.097
01-09-2011,0.078
01-10-2011,0.069
01-11-2011,0.078
01-12-2011,0.070
